"PERIOD","DATE","SAMPLE","PLOT","STATUS","COUNT","DENSITY","WM_GM2","SFDM_GM2","EXCR_M2"
"Closed season","9/14/19","A","BC1","Reserve",31,0.31,168.861799317,26.5113024921,72.48156345
"Closed season","9/14/19","A","CC1","Off reserve",34,0.34,107.454286148,16.8703229249,59.036722005
"Closed season","9/14/19","A","CC2","Off reserve",13,0.13,49.316769361,7.7427327902,25.548402915
"Closed season","9/15/19","A","BR1","Reserve",94,0.94,432.570524797,67.9135723942,204.017936504
"Closed season","9/15/19","A","BR2","Reserve",90,0.9,556.518736002,87.3734415518,224.398947582
"Closed season","9/16/19","A","BR3","Reserve",87,0.87,494.09181961,77.5724156795,208.822532276
"Closed season","9/16/19","A","CC4","Off reserve",11,0.11,51.969059735,8.1591423784,24.418344649
"Closed season","9/16/19","A","CC5","Off reserve",53,0.53,255.254673218,40.0749836937,118.438276506
"Closed season","9/23/19","B","CC1","Off reserve",57,0.57,254.437334033,39.9466614434,120.319843342
"Closed season","9/23/19","B","CC2","Off reserve",19,0.19,70.807726611,11.116813078,36.708036284
"Closed season","9/24/19","B","BR1","Reserve",84,0.84,384.22966893,60.3240580236,181.928619943
"Closed season","9/24/19","B","BR2","Reserve",105,1.05,594.785636003,93.3813448479,251.377475928
"Closed season","9/24/19","B","BR3","Reserve",137,1.37,759.819437754,119.2916517251,325.587562028
"Closed season","9/24/19","B","CC4","Off reserve",8,0.08,40.84673076,6.4129367293,18.562360053
"Closed season","9/24/19","B","CC5","Off reserve",69,0.69,349.031673184,54.7979726887,154.751061317
"Closed season","9/25/19","B","BC1","Reserve",19,0.19,131.179741105,20.5952193545,51.013818707
"Closed season","9/27/19","C","CC1","Off reserve",32,0.32,171.472268495,26.9211461538,73.508361923
"Closed season","9/27/19","C","CC2","Off reserve",25,0.25,105.291267784,16.530729042,51.224548712
"Closed season","9/27/19","C","CC4","Off reserve",15,0.15,63.902651092,10.032716221,30.961645874
"Closed season","9/27/19","C","CC5","Off reserve",56,0.56,276.110579937,43.3493610508,120.535729749
"Closed season","9/28/19","C","BR1","Reserve",84,0.84,398.683903205,62.5933728024,186.723236049
"Closed season","9/28/19","C","BR2","Reserve",148,1.48,694.50756022,109.0376869517,322.611247203
"Closed season","9/28/19","C","BR3","Reserve",121,1.21,565.526073537,88.7875935462,262.801700685
"Closed season","9/29/19","C","BC1","Reserve",26,0.26,140.026989381,21.9842373333,59.450103429
"Open season","10/11/19","D","CC1","Off reserve",17,0.17,67.527830367,10.6018693675,33.3881222631
"Open season","10/11/19","D","CC2","Off reserve",0,0,0,0,0
"Open season","10/12/19","D","BR1","Reserve",32,0.32,141.202540363,22.168798837,67.4407780455
"Open season","10/12/19","D","BR2","Reserve",57,0.57,299.079268258,46.9554451157,131.270583835
"Open season","10/12/19","D","BR3","Reserve",86,0.86,377.17406074,59.2163275365,181.986833643
"Open season","10/13/19","D","BC1","Reserve",31,0.31,216.982236452,34.0662111231,81.282684088
"Open season","10/13/19","D","CC4","Off reserve",0,0,0,0,0
"Open season","10/13/19","D","CC5","Off reserve",33,0.33,127.092207165,19.9534765256,65.255348215
"Open season","10/31/19","E","CC1","Off reserve",16,0.16,74.743543579,11.7347363417,35.378609834
"Open season","10/31/19","E","CC2","Off reserve",5,0.05,17.749816861,2.7867212472,9.294554611
"Open season","10/31/19","E","CC4","Off reserve",1,0.01,4.41300292,0.6928414584,2.043324114
"Open season","10/31/19","E","CC5","Off reserve",8,0.08,34.364537422,5.3952323753,17.046335105
"Open season","11/1/19","E","BC1","Reserve",31,0.31,174.193573803,27.348391087,73.6204182964
"Open season","11/1/19","E","BR1","Reserve",23,0.23,105.685236661,16.5925821564,49.8161315944
"Open season","11/1/19","E","BR2","Reserve",48,0.48,269.722398139,42.3464165075,115.335902085
"Open season","11/1/19","E","BR3","Reserve",127,1.27,607.032807802,95.3041508261,282.864672883
